结构体名	所在文件	行号	字段摘要	是否含文本业务字段	是否含项目结构字段	写入方	读取方	外部读取	初步分类
可解析引用	基础数据类型.ixx	149	T节点* 指针 = nullptr; | std::string 主键{}; | 可解析引用() = default; | 可解析引用(T节点* 节点) { 绑定(节点); } | 可解析引用(T节点* 节点, const std::string& 主键值) { 绑定(节点, 主键值); } | bool 有效() const noexcept { return 指针 != nullptr || !主键.empty(); } | T节点* 获取() const noexcept { return 指针; } | T节点* operator->() const noexcept { return 指针; } | ...(+12)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
RawImage	基础数据类型.ixx	1183	int w = 0, h = 0; | std::vector<T> data; | bool valid() const { return w > 0 && h > 0 && (int)data.size() == w * h; } | T& at(int x, int y) { return data[(size_t)y * (size_t)w + (size_t)x]; } | const T& at(int x, int y) const { return data[(size_t)y * (size_t)w + (size_t)x]; } | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
环形缓冲	基础信息主信息类.h	202	static_assert(N >= 2); | T data[N]{}; | std::size_t head = 0; | std::size_t size = 0; | void clear() { head = 0; size = 0; } | data[head] = v; | head = (head + 1) % N; | if (size < N) ++size; | ...(+4)	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
稳态点原型	基础信息主信息类.h	239	特征快照值 点{}; | std::uint64_t 命中次数 = 0; | 时间戳 最后命中 = 0; | bool 有效() const noexcept { return 特征快照有值(点); } | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
稳态多维区间原型	基础信息主信息类.h	249	I64多维区间 box{}; | 枚举_区间语义 语义 = 枚举_区间语义::值域; | std::uint64_t 命中次数 = 0; | 时间戳 最后命中 = 0; | std::optional<特征快照值> 代表点{}; | if (!box.有效()) return false; | if (box.维度.size() != 1) return false; | if (语义 == 枚举_区间语义::值域) return true; | ...(+2)	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
空值值域	基础信息主信息类.h	277	};	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
空集合值域	基础信息主信息类.h	280	};	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
I64值域	基础信息主信息类.h	285	std::vector<I64值域项> 项集{}; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
VecU句柄值域	基础信息主信息类.h	289	std::vector<VecU句柄> 允许句柄{}; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
指针句柄值域	基础信息主信息类.h	293	std::vector<可解析引用<基础信息节点类>> 允许目标抽象{}; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_D455线程共享状态	旧_外设线程_D455深度相机.ixx	153	mutable std::mutex 互斥{}; | std::condition_variable 条件{}; | 结构_D455深度相机线程配置 配置{}; | 枚举_D455深度相机线程生命周期状态::未启动; | bool 停止请求 = false; | bool 已结束 = false; | 结构_D455深度相机线程结果 结果{}; | std::vector<结构_D455深度相机观察样本> 样本{}; | ...(+1)	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_D455跟踪稳定缓存项	旧_外设线程_D455深度相机.ixx	173	std::uint64_t 等待项ID = 0; | std::string 跟踪种子{}; | bool 有最近中心 = false; | std::int64_t 最近中心X = 0; | std::int64_t 最近中心Y = 0; | std::int64_t 最近中心Z = 0; | std::int64_t 连续成功次数 = 0; | std::int64_t 失败次数 = 0; | ...(+1)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_D455跨帧观察簇缓存项	旧_外设线程_D455深度相机.ixx	184	std::int64_t 跨帧簇ID = -1; | bool 本帧已匹配 = false; | std::int64_t 最近来源空间候选ID = -1; | std::int64_t 最近像素数量 = 0; | std::int64_t 最近中心X = 0; | std::int64_t 最近中心Y = 0; | std::int64_t 最近中心Z = 0; | std::int64_t 最近投影中心X = 0; | ...(+28)	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_D455等待项分组	旧_外设线程_D455深度相机.ixx	2323	std::vector<结构_外设观察等待项> 全部等待项{}; | std::vector<结构_外设观察等待项> 扫描变化等待项集合{}; | std::vector<结构_外设观察等待项> 跟踪等待项集合{}; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_D455本帧报告组	旧_外设线程_D455深度相机.ixx	2329	std::optional<结构_外设观察报告队列项> 逐簇识别报告{}; | 结构_外设观察报告队列项 稳定子集报告{}; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_构建上下文	控制面板类.cpp	199	std::size_t 树深度上限 = 0; | std::size_t 树广度上限 = 0; | std::size_t 引用展开深度上限 = 2; | 路径集合 世界默认展开路径{}; | 路径集合 需求默认展开路径{}; | 路径集合 任务默认展开路径{}; | 路径集合 方法默认展开路径{}; | std::uintptr_t 自我存在指针 = 0; | ...(+6)	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
私有_规范节点类型	控制面板类.cpp	293	};	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
私有_规范节点类型	控制面板类.cpp	298	};	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
私有_规范节点类型	控制面板类.cpp	303	};	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
私有_规范节点类型	控制面板类.cpp	308	};	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_自我场景内容统计	控制面板类.cpp	1659	I64 节点数 = 0; | I64 存在数 = 0; | I64 场景数 = 0; | I64 特征数 = 0; | I64 状态数 = 0; | I64 动态数 = 0; | I64 二次特征数 = 0; | bool 扫描达到上限 = false; | ...(+2)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_需求方法可用性评估	控制面板类.cpp	3101	const 语素入口节点类* 目标特征类型 = nullptr; | std::vector<方法节点*> 候选方法{}; | std::vector<方法节点*> 可用方法{}; | std::vector<方法节点*> 同向候选方法{}; | std::vector<方法节点*> 可用同向方法{}; | std::size_t 有方法动作候选数 = 0; | std::size_t 方向未明候选数 = 0; | std::size_t 反向候选数 = 0; | ...(+5)	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_需求满足情况_控制面板	控制面板类.cpp	3913	bool 当前已截止 = false; | bool 自身状态可比较 = false; | bool 自身状态已满足 = false; | 枚举_三向关系 自身比较关系 = 枚举_三向关系::等于; | std::size_t 直接子总数 = 0; | std::size_t 活动阻塞子数 = 0; | std::size_t 全部满足子数 = 0; | std::size_t 部分满足子数 = 0; | ...(+4)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_线程状态页统计	控制面板类.cpp	6316	std::size_t 已知逻辑线程数 = 0; | std::size_t 当前运行数 = 0; | std::size_t 未启动数 = 0; | std::size_t 已结束数 = 0; | std::size_t 故障数 = 0; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_SQL控制面板数据	控制面板类.cpp	6841	std::vector<std::string> 批次{}; | std::vector<std::vector<std::string>> 指标{}; | std::vector<std::vector<std::string>> 线程{}; | std::vector<std::vector<std::string>> 线程事件{}; | std::vector<std::vector<std::string>> 动作动态{}; | std::vector<std::vector<std::string>> 因果边{}; | std::vector<std::vector<std::string>> 因果信息{}; | std::vector<std::vector<std::string>> 因果信息关系{}; | ...(+9)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_SQL控制面板查询	控制面板类.cpp	6860	std::string_view 名称{}; | std::string_view SQL{}; | std::vector<std::vector<std::string>> 结构_SQL控制面板数据::* 目标行集 = nullptr; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_需求列表分页结果	控制面板类.cpp	8537	std::vector<需求节点*> 节点集{}; | bool 还有更多 = false; | std::size_t 已遍历数量 = 0; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_重复目标诊断	控制面板类.cpp	8772	std::size_t 数量 = 0; | std::vector<std::string> 样本需求主键{}; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_控制面板树节点	控制面板类.ixx	14	std::uintptr_t 节点指针 = 0; | std::uintptr_t 附加参数 = 0; | std::string 文本{}; | bool 默认展开 = false; | bool 可延迟展开 = false; | std::string 展开类型{}; | std::vector<结构_控制面板树节点> 子项{}; | std::vector<结构_控制面板树节点> 详情{}; | ...(+1)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_控制面板诊断区域	控制面板类.ixx	25	std::int64_t 区域编号 = 0; | std::int64_t 图层类型 = 0; | std::int64_t 来源候选编号 = -1; | std::int64_t 投影最小X = 0; | std::int64_t 投影最大X = 0; | std::int64_t 投影最小Y = 0; | std::int64_t 投影最大Y = 0; | std::int64_t 像素数量 = 0; | ...(+3)	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_控制面板自我场景存在复现项	控制面板类.ixx	38	std::uintptr_t 节点指针 = 0; | std::string 标题{}; | std::string 类型{}; | std::int64_t 来源范围 = 0; | std::int64_t 来源空间候选编号 = -1; | std::int64_t 外设观察报告ID = 0; | std::int64_t 外设观察像素簇ID = 0; | std::int64_t 几何状态 = 0; | ...(+30)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_控制面板快照	控制面板类.ixx	78	bool 世界树已初始化 = false; | bool 自我已初始化 = false; | bool 自我线程已初始化 = false; | bool 自我线程运行中 = false; | bool 自我线程健康运行 = false; | bool 自我存在已建立 = false; | bool 自我内部世界已建立 = false; | bool 自我需求根字段已建立 = false; | ...(+421)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_WebView2窗口上下文	控制面板WebView2.cpp	57	枚举_WebView2窗口用途 用途 = 枚举_WebView2窗口用途::控制面板; | HMODULE 加载器模块 = nullptr; | ComPtr<ICoreWebView2Controller> 控制器{}; | ComPtr<ICoreWebView2> WebView{}; | std::filesystem::path 当前HTML临时路径{}; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_相机帧JSON	控制面板WebView2.cpp	77	bool 成功 = false; | bool 已停止 = false; | int 源宽 = 0; | int 源高 = 0; | int 宽 = 0; | int 高 = 0; | std::uint32_t 深度帧号 = 0; | std::uint32_t 彩色帧号 = 0; | ...(+9)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务树SQL行	任务类.cpp	800	int 行号 = 0; | std::string 节点主键{}; | std::string 父节点主键{}; | int 深度 = 0; | int 同层序号 = 0; | int 直接子数量 = 0; | std::string 路径{}; | int 节点种类值 = 0; | ...(+14)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务推进回执	任务模块.筹办.ixx	77	枚举_任务推进阶段 阶段 = 枚举_任务推进阶段::未定义; | 枚举_任务推进状况 状况 = 枚举_任务推进状况::未定义; | 枚举_任务状态 建议任务状态 = 枚举_任务状态::未定义; | 枚举_任务阶段 建议任务阶段 = 枚举_任务阶段::未定义; | 可解析引用<任务节点类> 当前任务{}; | 可解析引用<需求节点类> 对应需求{}; | 可解析引用<方法节点类> 当前方法{}; | std::vector<可解析引用<方法节点类>> 候选方法集{}; | ...(+23)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务筹办结果	任务模块.筹办.ixx	118	bool 已执行筹办 = false; | bool 已绑定方法 = false; | bool 已创建目标方法头 = false; | bool 已建立方法头待重入 = false; | bool 缺少任务 = false; | bool 缺少需求目标 = false; | 特征节点类* 方法运行结果 = nullptr; | 场景节点类* 结果场景 = nullptr; | ...(+4)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_安全因果风险树常驻维护结果	任务模块.筹办.ixx	132	bool 已执行 = false; | bool 已跳过 = false; | bool 已同步 = false; | bool 版本变化 = false; | std::size_t 节点数量 = 0; | std::size_t 搜索缺口数量 = 0; | std::size_t 场景影响前置缺口数量 = 0; | I64 树版本 = 0; | ...(+2)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_直接子需求聚合视图_筹办	任务模块.筹办.ixx	812	bool 已检查 = false; | std::size_t 直接子需求数 = 0; | std::size_t 已满足子需求数 = 0; | std::size_t 未满足子需求数 = 0; | std::string 首个未满足子需求主键{}; | return 已检查 && 直接子需求数 == 0; | return 已检查 && 直接子需求数 > 0 && 未满足子需求数 == 0; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_需求生命周期上下文_筹办	任务模块.筹办.ixx	1005	任务节点* 来源任务 = nullptr; | 需求节点* 来源需求 = nullptr; | 基础信息节点类* 需求主体 = nullptr; | 基础信息节点类* 被需求存在 = nullptr; | 基础信息节点类* 目标宿主 = nullptr; | 状态节点类* 当前状态 = nullptr; | 状态节点类* 目标状态 = nullptr; | const 语素入口节点类* 目标特征类型 = nullptr; | ...(+9)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_筹办生命周期判断结果_筹办	任务模块.筹办.ixx	1025	bool 已判断 = false; | bool 可比较 = false; | bool 已满足 = false; | bool 当前状态缺失 = false; | bool 目标状态缺失 = false; | bool 使用主键相等判断 = false; | 枚举_三向关系 比较关系 = 枚举_三向关系::等于; | 三向关系掩码 满足关系 = 关系_等于; | ...(+2)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_待记录满足项	任务模块.筹办.ixx	1172	const 需求节点* 需求 = nullptr; | 结构_需求生命周期上下文_筹办 上下文{}; | 结构_筹办生命周期判断结果_筹办 判断{}; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_因果路径筹办入口壳结果	任务模块.筹办.ixx	1292	bool 已检查 = false; | bool 目标表达完整 = false; | bool 目标比较已构造 = false; | 二次特征节点类* 目标比较 = nullptr; | std::vector<结构_任务管理派生需求消息> 派生需求消息集{}; | std::string 拒绝原因{}; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_因果路径查询壳统计	任务模块.筹办.ixx	1301	bool 已执行 = false; | std::size_t 因果节点数量 = 0; | std::size_t 有主信息数量 = 0; | std::size_t 因果模板数量 = 0; | std::size_t 初始因果模板数量 = 0; | std::size_t 后天验证因果数量 = 0; | std::size_t 主果模板声明数量 = 0; | std::size_t 主果可解析数量 = 0; | ...(+5)	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
