函数名	定义位置	原始签名	参数类型	返回类型	函数体领域依赖	分类A或B	迁移候选	保留原因	模块import风险	下一步处理
D455_构造逐簇稳定性诊断摘要	外设线程_D455深度相机.ixx:2601	std::string D455_构造逐簇稳定性诊断摘要(const 结构_外设观察报告队列项& 报告项)	const 结构_外设观察报告队列项& 报告项	std::string	结构_,外设观察,观察像素簇,外设,D455,报告,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,外设观察,观察像素簇；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_查找材料页空间候选	外设观察报告队列.ixx:1305	const 双目相机本能适配器::空间候选摘要* D455_查找材料页空间候选( const 结构_D455短期观察材料页& 页, std::int64_t 候选编号) noexcept	 const 结构_D455短期观察材料页& 页, std::int64_t 候选编号	const 双目相机本能适配器::空间候选摘要*	结构_,空间候选,D455,双目,相机,本能,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,空间候选；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_标记材料摘要成功	外设观察报告队列.ixx:1337	void D455_标记材料摘要成功(结构_D455观察材料句柄摘要* 摘要) noexcept	结构_D455观察材料句柄摘要* 摘要	void	结构_,枚举_,D455,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_正面积	外设线程_D455深度相机.ixx:376	std::uint64_t D455_正面积(std::int64_t 宽度, std::int64_t 高度) noexcept	std::int64_t 宽度, std::int64_t 高度	std::uint64_t	D455	B	候选	未命中自定义主信息/节点/结构/协议对象；仅作为迁移候选，需人工复核同功能与 import 环	中-有领域命名/日志语境，迁移前复核命名和所属模块	P13b 迁移前查全局共享函数类和函数说明文档；确认无同功能且无 import 环
D455_深度帧材料有效	外设观察报告队列.ixx:1288	bool D455_深度帧材料有效(const 双目相机本能适配器::调用结果& 来源) noexcept	const 双目相机本能适配器::调用结果& 来源	bool	D455,双目,相机,本能,字段访问	A	否	函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_清理短期材料页_已加锁	外设观察报告队列.ixx:1171	void D455_清理短期材料页_已加锁( 结构_外设观察队列共享状态& 状态, std::int64_t 当前时间毫秒)	 结构_外设观察队列共享状态& 状态, std::int64_t 当前时间毫秒	void	结构_,外设观察,外设,D455,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,外设观察；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_清空跟踪稳定缓存	外设线程_D455深度相机.ixx:237	void D455_清空跟踪稳定缓存()		void	D455,跟踪,字段访问	A	否	函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_清空跨帧观察簇缓存	外设线程_D455深度相机.ixx:284	void D455_清空跨帧观察簇缓存()		void	D455,观察,字段访问	A	否	函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_目标约束使用状态_由判定	外设线程_D455深度相机.ixx:1928	std::int64_t D455_目标约束使用状态_由判定( const 结构_目标观察约束可用性判定& 判定) noexcept	 const 结构_目标观察约束可用性判定& 判定	std::int64_t	结构_,枚举_,D455,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_目标观察约束二维范围有效	外设线程_D455深度相机.ixx:1851	bool D455_目标观察约束二维范围有效(const 结构_目标观察约束特征组& 约束) noexcept	const 结构_目标观察约束特征组& 约束	bool	结构_,特征,D455,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_目标观察约束空间范围有效	外设线程_D455深度相机.ixx:1858	bool D455_目标观察约束空间范围有效(const 结构_目标观察约束特征组& 约束) noexcept	const 结构_目标观察约束特征组& 约束	bool	结构_,特征,D455,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_目标跟踪等待项前置满足	外设线程_D455深度相机.ixx:2128	bool D455_目标跟踪等待项前置满足(const 结构_外设观察等待项& 等待项) noexcept	const 结构_外设观察等待项& 等待项	bool	结构_,外设观察,存在,外设,D455,观察,跟踪,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,外设观察；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_相机实现::D455_相机实现	D455相机类.cpp:861	D455_相机实现::D455_相机实现(配置项 cfg) : 实现指针(std::make_unique<实现>(cfg))	配置项 cfg) : 实现指针(std::make_unique<实现>(cfg)		D455_相机实现,D455,相机	A	否	命中自定义结构/节点/协议依赖：D455_相机实现；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_相机实现::关闭	D455相机类.cpp:875	void D455_相机实现::关闭()		void	D455_相机实现,D455,相机,字段访问	A	否	命中自定义结构/节点/协议依赖：D455_相机实现；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_相机实现::应用配置	D455相机类.cpp:893	bool D455_相机实现::应用配置(const 配置项& 新配置)	const 配置项& 新配置	bool	D455_相机实现,D455,相机,字段访问	A	否	命中自定义结构/节点/协议依赖：D455_相机实现；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_相机实现::打开	D455相机类.cpp:870	bool D455_相机实现::打开()		bool	D455_相机实现,D455,相机,字段访问	A	否	命中自定义结构/节点/协议依赖：D455_相机实现；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_相机实现::获取最近轮廓观测	D455相机类.cpp:903	const std::vector<结构体_轮廓观测>& D455_相机实现::获取最近轮廓观测() const		const std::vector<结构体_轮廓观测>&	D455_相机实现,D455,相机,字段访问	A	否	命中自定义结构/节点/协议依赖：D455_相机实现；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_相机实现::获取配置	D455相机类.cpp:887	const D455_相机实现::配置项& D455_相机实现::获取配置() const		const D455_相机实现::配置项&	D455_相机实现,D455,相机,字段访问	A	否	命中自定义结构/节点/协议依赖：D455_相机实现；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_相机实现::采集一帧	D455相机类.cpp:882	bool D455_相机实现::采集一帧(结构体_原始场景帧& 输出)	结构体_原始场景帧& 输出	bool	D455_相机实现,场景,D455,相机,字段访问	A	否	命中自定义结构/节点/协议依赖：D455_相机实现；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_相机实现::采集一帧并提取轮廓	D455相机类.cpp:898	bool D455_相机实现::采集一帧并提取轮廓(结构体_原始场景帧& 输出, std::vector<结构体_轮廓观测>& out轮廓)	结构体_原始场景帧& 输出, std::vector<结构体_轮廓观测>& out轮廓	bool	D455_相机实现,场景,D455,相机,字段访问	A	否	命中自定义结构/节点/协议依赖：D455_相机实现；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_确保跟踪稳定缓存项_已加锁	外设线程_D455深度相机.ixx:244	结构_D455跟踪稳定缓存项& D455_确保跟踪稳定缓存项_已加锁( const 结构_外设观察等待项& 等待项)	 const 结构_外设观察等待项& 等待项	结构_D455跟踪稳定缓存项&	结构_,外设观察,外设,D455,观察,跟踪,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,外设观察；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_空间坐标材料有效	外设观察报告队列.ixx:1298	bool D455_空间坐标材料有效(const 双目相机本能适配器::调用结果& 来源) noexcept	const 双目相机本能适配器::调用结果& 来源	bool	D455,双目,相机,本能,字段访问	A	否	函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_线程主循环	外设线程_D455深度相机.ixx:3039	void D455_线程主循环(std::shared_ptr<结构_D455线程共享状态> 状态) noexcept	std::shared_ptr<结构_D455线程共享状态> 状态	void	结构_,枚举_,外设观察,空间候选,逐簇识别,稳定子集,外设,D455,双目,相机,本能,线程,报告,观察,扫描,跟踪	A	否	命中自定义结构/节点/协议依赖：结构_,枚举_,外设观察,空间候选,逐簇识别,稳定子集；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_范围端点最大差	外设线程_D455深度相机.ixx:866	std::int64_t D455_范围端点最大差( std::int64_t 左最小, std::int64_t 左最大, std::int64_t 右最小, std::int64_t 右最大) noexcept	 std::int64_t 左最小, std::int64_t 左最大, std::int64_t 右最小, std::int64_t 右最大	std::int64_t	D455	B	候选	未命中自定义主信息/节点/结构/协议对象；仅作为迁移候选，需人工复核同功能与 import 环	中-有领域命名/日志语境，迁移前复核命名和所属模块	P13b 迁移前查全局共享函数类和函数说明文档；确认无同功能且无 import 环
D455_范围跨度容差	外设线程_D455深度相机.ixx:878	std::int64_t D455_范围跨度容差( std::int64_t 左最小, std::int64_t 左最大, std::int64_t 右最小, std::int64_t 右最大, std::int64_t 最小容差) noexcept	 std::int64_t 左最小, std::int64_t 左最大, std::int64_t 右最小, std::int64_t 右最大, std::int64_t 最小容差	std::int64_t	D455	B	候选	未命中自定义主信息/节点/结构/协议对象；仅作为迁移候选，需人工复核同功能与 import 环	中-有领域命名/日志语境，迁移前复核命名和所属模块	P13b 迁移前查全局共享函数类和函数说明文档；确认无同功能且无 import 环
