"函数名"	"条目数"	"定义数"	"声明数"	"位置"
"私有_写入需求节点引用"	"2"	"2"	"0"	"任务模块.管理工作线程.ixx:216[定义];自我线程模块.impl.cpp:2441[定义]"
"私有_动作句柄相等"	"2"	"2"	"0"	"方法主信息类.h:510[定义];方法类.cpp:27[定义]"
"私有_包含片段"	"2"	"2"	"0"	"动态类.cpp:36[定义];鱼巢.cpp:687[定义]"
"私有_取所属场景"	"2"	"2"	"0"	"二次特征应用模块.ixx:815[定义];需求类.cpp:458[定义]"
"私有_取方法节点"	"2"	"2"	"0"	"任务类.cpp:59[定义];任务类.cpp:188[定义]"
"私有_取状态排序时间"	"2"	"1"	"1"	"场景类.cpp:54[定义];状态类.h:183[声明]"
"私有_同步方法状态特征"	"2"	"2"	"0"	"方法类.cpp:838[定义];方法虚拟存在服务类.cpp:438[定义]"
"私有_基础节点短名"	"2"	"2"	"0"	"语言类_二次特征表达.cpp:332[定义];语言类_基础信息命名.cpp:71[定义]"
"私有_安全文本"	"2"	"2"	"0"	"语言类_二次特征表达.cpp:28[定义];语言类_基础信息命名.cpp:26[定义]"
"私有_宽字串转UTF8"	"2"	"2"	"0"	"控制面板WebView2.cpp:262[定义];数据库ADO模块.cpp:52[定义]"
"私有_归一到方法首节点"	"2"	"2"	"0"	"方法类.cpp:141[定义];方法虚拟存在服务类.cpp:14[定义]"
"私有_执行前门控结果文本"	"2"	"2"	"0"	"自我线程模块.impl.cpp:12921[定义];鱼巢.cpp:525[定义]"
"私有_按特征语义推断结算贡献层级"	"2"	"2"	"0"	"因果类.cpp:843[定义];因果类.cpp:865[定义]"
"私有_推导方法类型"	"2"	"2"	"0"	"方法类.cpp:715[定义];方法虚拟存在服务类.cpp:88[定义]"
"私有_方法匹配自我能力值_执行桥_最小_v0"	"2"	"2"	"0"	"任务模块.执行.ixx:207[定义];任务模块.执行.ixx:228[定义]"
"私有_方法条件结果对数量"	"2"	"2"	"0"	"方法类.cpp:779[定义];方法虚拟存在服务类.cpp:161[定义]"
"私有_方法标题"	"2"	"2"	"0"	"控制面板类.cpp:4309[定义];自检线程模块.impl.cpp:1158[定义]"
"私有_方法状态_可用值"	"2"	"2"	"0"	"方法类.cpp:738[定义];方法虚拟存在服务类.cpp:123[定义]"
"私有_方法状态_待可执行入口值"	"2"	"2"	"0"	"方法类.cpp:747[定义];方法虚拟存在服务类.cpp:129[定义]"
"私有_方法状态_待方法动作值"	"2"	"2"	"0"	"方法类.cpp:744[定义];方法虚拟存在服务类.cpp:126[定义]"
"私有_方法状态_待条件结果对值"	"2"	"2"	"0"	"方法类.cpp:756[定义];方法虚拟存在服务类.cpp:138[定义]"
"私有_方法状态_待条件节点值"	"2"	"2"	"0"	"方法类.cpp:750[定义];方法虚拟存在服务类.cpp:132[定义]"
"私有_方法状态_待结果节点值"	"2"	"2"	"0"	"方法类.cpp:753[定义];方法虚拟存在服务类.cpp:135[定义]"
"私有_方法直接子节点数量"	"2"	"2"	"0"	"方法类.cpp:759[定义];方法虚拟存在服务类.cpp:141[定义]"
"私有_方法自我能力值"	"2"	"2"	"0"	"任务模块.管理工作线程.ixx:987[定义];任务模块.管理界面线程.impl.cpp:5009[定义]"
"私有_方法节点名称"	"2"	"2"	"0"	"语言类_二次特征表达.cpp:76[定义];语言类_基础信息命名.cpp:81[定义]"
"私有_方法虚拟存在名称词"	"2"	"2"	"0"	"方法类.cpp:263[定义];本能方法类.cpp:176[定义]"
"私有_方法虚拟存在类型词"	"2"	"2"	"0"	"方法类.cpp:254[定义];本能方法类.cpp:186[定义]"
"私有_查找本能方法首节点"	"2"	"2"	"0"	"本能方法类.cpp:279[定义];自我类.cpp:417[定义]"
"私有_根层重判结果文本"	"2"	"2"	"0"	"自我线程模块.impl.cpp:12909[定义];鱼巢.cpp:513[定义]"
"私有_比较入口引用"	"2"	"2"	"0"	"语素主信息类.h:526[定义];语素主信息类.h:568[定义]"
"私有_深拷贝主信息"	"2"	"1"	"1"	"双向链表模板_深拷贝.inl:37[定义];双向链表模板核心.h:673[声明]"
"私有_深拷贝树_独立_递归"	"2"	"1"	"1"	"双向链表模板_深拷贝.inl:53[定义];双向链表模板核心.h:674[声明]"
"私有_特征_目标方法头节点"	"2"	"2"	"0"	"任务模块.管理工作线程.ixx:273[定义];任务模块.管理界面线程.impl.cpp:1144[定义]"
"私有_特征值文本"	"2"	"2"	"0"	"控制面板类.cpp:615[定义];语言类_基础信息命名.cpp:56[定义]"
"私有_状态特征类型"	"2"	"2"	"0"	"任务模块.管理工作线程.ixx:2056[定义];方法类.cpp:539[定义]"
"私有_独立树添加方法子节点"	"2"	"2"	"0"	"方法类.cpp:236[定义];本能方法类.cpp:138[定义]"
"私有_确保I64特征已初始化"	"2"	"2"	"0"	"任务类.cpp:518[定义];方法虚拟存在服务类.cpp:233[定义]"
"私有_等号字段显示文本"	"2"	"2"	"0"	"控制面板类.cpp:2546[定义];控制面板类.cpp:2555[定义]"
"私有_绝对值饱和"	"2"	"2"	"0"	"世界树类.cpp:184[定义];特征类.cpp:141[定义]"
"私有_节点主键_控制面板"	"2"	"2"	"0"	"控制面板类.cpp:895[定义];控制面板类.cpp:905[定义]"
"私有_节点在范围内"	"2"	"1"	"1"	"基础信息类.h:84[声明];存在类.cpp:75[定义]"
"私有_解析U64"	"2"	"2"	"0"	"控制面板WebView2.cpp:282[定义];线程生命周期消息模块.ixx:218[定义]"
"私有_解析动态引用"	"2"	"2"	"0"	"二次特征应用模块.ixx:1037[定义];动态类.cpp:322[定义]"
"私有_计算距离_mm"	"2"	"2"	"0"	"二次特征应用模块.ixx:2135[定义];存在类.cpp:14[定义]"
"私有_语素入口相同"	"2"	"2"	"0"	"任务类.cpp:65[定义];自我类.cpp:44[定义]"
"私有_读取状态时间"	"2"	"2"	"0"	"二次特征应用模块.ixx:808[定义];需求类.cpp:360[定义]"
"私有_追加JSON字符串"	"2"	"2"	"0"	"控制面板WebView2.cpp:526[定义];控制面板类.cpp:8238[定义]"
"私有_重建缓存_已加锁"	"2"	"1"	"1"	"特征值类.h:29[声明];特征值类.h:209[定义]"
"私有_需求结构角色文本"	"2"	"2"	"0"	"控制面板类.cpp:4627[定义];需求类.cpp:88[定义]"
"私有_饱和加"	"2"	"2"	"0"	"特征类.cpp:126[定义];自我类.cpp:29[定义]"
"私有_默认成熟度阶段"	"2"	"2"	"0"	"方法类.cpp:729[定义];方法虚拟存在服务类.cpp:102[定义]"
"筹办_构造需求生命周期上下文"	"2"	"2"	"0"	"任务模块.筹办.ixx:1038[定义];任务模块.筹办.ixx:1089[定义]"
"类型_参数配对结果存在"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1858[定义];自我动作实现模块.ixx:1351[定义]"
"类型_方法配对结果存在"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1893[定义];自我动作实现模块.ixx:1386[定义]"
"类型_运行虚拟存在"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1559[定义];自我动作实现模块.ixx:1052[定义]"
"类型_需求_修复实例特征写入能力"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7429[定义];自我动作实现模块.ixx:2590[定义]"
"类型_需求_实例化特征"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7401[定义];自我动作实现模块.ixx:2562[定义]"
"类型_需求_确定执行差值或目标值"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7415[定义];自我动作实现模块.ixx:2576[定义]"
"类型_需求_确定特征当前值"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7408[定义];自我动作实现模块.ixx:2569[定义]"
"类型_需求_重新配对参数或调整目标值"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7422[定义];自我动作实现模块.ixx:2583[定义]"
"索引"	"2"	"2"	"0"	"D455相机类.cpp:264[定义];基础数据类型.h:1272[定义]"
"结构体_分词"	"2"	"1"	"1"	"基础数据类型.h:533[声明];基础数据类型.h:536[定义]"
"绝对差I64"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:10538[定义];自我动作实现.扫描.ixx:844[定义]"
"继承缺失引用_已加锁"	"2"	"0"	"2"	"需求类.h:790[声明];需求类.h:791[声明]"
"自我扫描当前场景"	"2"	"2"	"0"	"自我动作实现.扫描.ixx:1852[定义];自我动作实现模块.ixx:12464[定义]"
"自我类::根任务权重"	"2"	"2"	"0"	"自我类.cpp:1849[定义];自我类.cpp:1855[定义]"
"自我线程类::处理任务满足反馈"	"2"	"2"	"0"	"自我线程模块.impl.cpp:15758[定义];自我线程模块.impl.cpp:15790[定义]"
"自我线程类::配置"	"2"	"2"	"0"	"自我线程模块.impl.cpp:15955[定义];自我线程模块.impl.cpp:15961[定义]"
"获取主键"	"2"	"2"	"0"	"双向链表模板核心.h:54[定义];双向链表模板核心.h:250[定义]"
"获取名称"	"2"	"0"	"2"	"世界树类.h:86[声明];基础信息类.h:30[声明]"
"获取基础信息集"	"2"	"1"	"1"	"基础信息类.cpp:387[定义];基础信息类.h:89[声明]"
"获取子存在"	"2"	"0"	"2"	"场景类.h:29[声明];存在类.h:60[声明]"
"获取或创建_已加锁"	"2"	"2"	"0"	"特征值类.h:137[定义];特征值类.h:160[定义]"
"解析方法执行条件节点"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:9495[定义];自我动作实现模块.ixx:4389[定义]"
"计算子需求平分权重"	"2"	"2"	"0"	"需求类.h:448[定义];需求类.h:462[定义]"
"记录本能方法自身环境错误"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:9550[定义];自我动作实现模块.ixx:4474[定义]"
"设为复合特征"	"2"	"1"	"1"	"基础信息主信息类.h:340[声明];基础信息主信息类.h:381[定义]"
"词_被动动作"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:650[定义];自我动作实现模块.ixx:53[定义]"
"语素类::添加信息入口词"	"2"	"2"	"0"	"语素类.cpp:842[定义];语素类.cpp:872[定义]"
"语素类::确保语素入口对应基础信息"	"2"	"2"	"0"	"语素类.cpp:880[定义];语素类.cpp:923[定义]"
"语言记录主信息类"	"2"	"2"	"0"	"基础信息主信息类.h:168[定义];基础信息主信息类.h:173[定义]"
"读取任务执行方法"	"2"	"0"	"2"	"任务类.h:137[声明];任务类.h:138[声明]"
"读取任务管理对象任务"	"2"	"0"	"2"	"任务类.h:128[声明];任务类.h:129[声明]"
"读取包指针"	"2"	"2"	"0"	"自我动作实现.服务模块.ixx:1322[定义];自我动作实现模块.ixx:4851[定义]"
"读取场景I64特征"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:8076[定义];自我动作实现模块.ixx:2772[定义]"
"读取基础节点特征值"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7989[定义];自我动作实现模块.ixx:2717[定义]"
"读取提交入口上游动作动态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:23797[定义];自我动作实现.外设模块.ixx:23817[定义]"
"读取数据_已加锁"	"2"	"1"	"1"	"双向链表模板_序列化.inl:152[定义];双向链表模板核心.h:687[声明]"
"读取特征VecI64"	"2"	"0"	"2"	"世界树类.h:234[声明];世界树类.h:235[声明]"
"读取特征_I64"	"2"	"0"	"2"	"世界树类.h:229[声明];世界树类.h:230[声明]"
"读取特征_指针"	"2"	"0"	"2"	"世界树类.h:231[声明];世界树类.h:232[声明]"
"读取特征快照"	"2"	"0"	"2"	"世界树类.h:227[声明];世界树类.h:228[声明]"
"读取目标方法头节点"	"2"	"2"	"0"	"自我动作实现模块.ixx:6527[定义];自我动作实现模块.ixx:6541[定义]"
"输出本能方法自身环境失败"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:9790[定义];自我动作实现模块.ixx:4691[定义]"
"输出运行虚拟存在"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:9373[定义];自我动作实现模块.ixx:4267[定义]"
"运行参数已从输入场景匹配"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:9060[定义];自我动作实现模块.ixx:4135[定义]"
"运行参数根"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:8556[定义];自我动作实现模块.ixx:3097[定义]"
"释放"	"2"	"1"	"1"	"双目相机本能适配器.cpp:1331[定义];双目相机本能适配器.h:204[声明]"
"释放树_独立"	"2"	"1"	"1"	"双向链表模板_深拷贝.inl:28[定义];双向链表模板核心.h:670[声明]"
"重写需求树SQL投影"	"2"	"0"	"2"	"需求类.h:513[声明];需求类.h:619[声明]"
"需求目标语义视图"	"2"	"0"	"2"	"需求类.h:341[声明];需求类.h:359[声明]"
"需求目标重叠_已加锁"	"2"	"2"	"0"	"需求类.h:860[定义];需求类.h:890[定义]"
"需求类::普通候选方法筹办禁止原因"	"2"	"2"	"0"	"需求类.cpp:1429[定义];需求类.cpp:1450[定义]"
"需求类::生成需求方向签名"	"2"	"2"	"0"	"需求类.cpp:1281[定义];需求类.cpp:1322[定义]"
"需求类::需求目标语义视图"	"2"	"2"	"0"	"需求类.cpp:1149[定义];需求类.cpp:1274[定义]"
"项目弹窗错误提示"	"2"	"1"	"1"	"日志接入.h:14[声明];日志模块.ixx:601[定义]"
"项目提示不允许空指"	"2"	"1"	"1"	"日志接入.h:15[声明];日志模块.ixx:626[定义]"
"项目自检无上级需求日志"	"2"	"1"	"1"	"日志接入.h:21[声明];日志模块.ixx:660[定义]"
"项目致命日志"	"2"	"1"	"1"	"日志接入.h:24[声明];日志模块.ixx:699[定义]"
"项目记录异常日志"	"2"	"1"	"1"	"日志接入.h:23[声明];日志模块.ixx:689[定义]"
"项目运行日志"	"2"	"1"	"1"	"日志接入.h:11[声明];日志模块.ixx:571[定义]"
"项目运行警告日志"	"2"	"1"	"1"	"日志接入.h:12[声明];日志模块.ixx:581[定义]"
"项目运行错误日志"	"2"	"1"	"1"	"日志接入.h:13[声明];日志模块.ixx:591[定义]"
"饱和增加"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:8988[定义];自我动作实现模块.ixx:4064[定义]"
"首节点信息"	"2"	"2"	"0"	"方法主信息类.h:392[定义];方法主信息类.h:399[定义]"
