"函数名"	"条目数"	"定义数"	"声明数"	"功能签名数"	"功能签名摘要"	"迁移归属建议"	"原始签名摘要"	"初步判定"
"添加词性词"	"4"	"0"	"4"	"3"	"2x 类别=执行;输入=有自定义类型;输出=文本;副作用=无明显副作用;领域=语素;约束=无显式约束 || 1x 类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=语素;约束=无显式约束 || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=语素;约束=无显式约束"	"4x 专用类/对应头文件：语素"	"语素类.h:51: 语素入口节点类* 添加词性词(词节点类* 词节点, 枚举_词性 词性) || 语素类.h:52: 语素入口节点类* 添加词性词(const std::string& 词值, 枚举_词性 词性) || 语素类.h:53: 语素入口节点类* 添加词性词(const std::string& 词值, const std::string& 词性值) || 语素类.h:54: 语素入口节点类* 添加词性词(结构体_分词 词信息)"	"同名不同功能或约束，禁止直接合并"
"清空"	"4"	"4"	"0"	"2"	"2x 类别=清理;输入=无自定义类型;输出=void;副作用=无明显副作用;领域=全局通用候选;约束=noexcept || 2x 类别=清理;输入=无自定义类型;输出=void;副作用=无明显副作用;领域=全局通用候选;约束=inline"	"4x 全局共享函数类.ixx候选"	"基础数据类型.h:195: void 清空() noexcept || 基础数据类型.h:238: void 清空() noexcept || 基础数据类型.h:1360: inline void 清空() || 基础数据类型.h:1375: inline void 清空()"	"同名不同功能或约束，禁止直接合并"
"特征_方法状态"	"4"	"4"	"0"	"4"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=其他;副作用=无明显副作用;领域=外设;约束=无显式约束 || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=其他;副作用=无明显副作用;领域=自我;约束=无显式约束"	"2x 专用类/对应头文件：外设 || 2x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:5812: inline const 语素入口节点类* 特征_方法状态() noexcept || 自我动作实现.外设模块.ixx:8343: 写入目标方法特征派生需求( 当前本能方法, 目标方法, 特征_方法状态(), 特征值 || 自我动作实现模块.ixx:2064: inline const 语素入口节点类* 特征_方法状态() noexcept || 自我动作实现模块.ixx:2980: 写入目标方法特征派生需求( 当前本能方法, 目标方法, 特征_方法状态(), 特征值"	"同名不同功能或约束，禁止直接合并"
"特征_目标宿主"	"4"	"4"	"0"	"3"	"2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=任务;约束=noexcept || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：任务 || 1x 专用类/对应头文件：外设"	"任务模块.筹办.ixx:4396: const 语素入口节点类* 特征_目标宿主() noexcept || 自我动作实现.外设模块.ixx:2152: inline const 语素入口节点类* 特征_目标宿主() noexcept || 自我动作实现.服务模块.ixx:173: inline const 语素入口节点类* 特征_目标宿主() noexcept || 自我动作实现模块.ixx:1645: inline const 语素入口节点类* 特征_目标宿主() noexcept"	"同名不同功能或约束，禁止直接合并"
"特征_目标特征类型"	"4"	"4"	"0"	"3"	"2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=任务;约束=noexcept || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：任务 || 1x 专用类/对应头文件：外设"	"任务模块.筹办.ixx:4389: const 语素入口节点类* 特征_目标特征类型() noexcept || 自我动作实现.外设模块.ixx:1085: inline const 语素入口节点类* 特征_目标特征类型() noexcept || 自我动作实现.服务模块.ixx:181: inline const 语素入口节点类* 特征_目标特征类型() noexcept || 自我动作实现模块.ixx:571: inline const 语素入口节点类* 特征_目标特征类型() noexcept"	"同名不同功能或约束，禁止直接合并"
"特征_输入条件包"	"4"	"4"	"0"	"3"	"2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=任务;约束=noexcept || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：任务 || 1x 专用类/对应头文件：外设"	"任务模块.筹办.ixx:4368: const 语素入口节点类* 特征_输入条件包() noexcept || 自我动作实现.外设模块.ixx:714: inline const 语素入口节点类* 特征_输入条件包() noexcept || 自我动作实现.服务模块.ixx:37: inline const 语素入口节点类* 特征_输入条件包() noexcept || 自我动作实现模块.ixx:117: inline const 语素入口节点类* 特征_输入条件包() noexcept"	"同名不同功能或约束，禁止直接合并"
"特征_输出结果场景"	"4"	"4"	"0"	"2"	"3x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"3x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:1573: inline const 语素入口节点类* 特征_输出结果场景() noexcept || 自我动作实现.扫描.ixx:464: inline const 语素入口节点类* 特征_输出结果场景() noexcept || 自我动作实现.服务模块.ixx:213: inline const 语素入口节点类* 特征_输出结果场景() noexcept || 自我动作实现模块.ixx:1066: inline const 语素入口节点类* 特征_输出结果场景() noexcept"	"同名不同功能或约束，禁止直接合并"
"私有_归一到任务头结点"	"4"	"4"	"0"	"2"	"3x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept || 1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=任务;约束=noexcept"	"3x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：任务"	"任务类.cpp:256: 任务节点* 私有_归一到任务头结点(任务节点* 节点) noexcept || 自我类.cpp:275: 任务节点* 私有_归一到任务头结点(任务节点* 节点) noexcept || 自我类.初始化.cpp:165: 任务节点* 私有_归一到任务头结点(任务节点* 节点) noexcept || 自我线程模块.impl.cpp:3499: 任务节点* 私有_归一到任务头结点(任务节点* 节点) noexcept"	"同名不同功能或约束，禁止直接合并"
"私有_特征_任务状态"	"4"	"4"	"0"	"3"	"2x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=任务;约束=noexcept || 1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept || 1x 类别=未分类;输入=有自定义类型;输出=其他;副作用=无明显副作用;领域=自我;约束=无显式约束"	"2x 专用类/对应头文件：任务 || 2x 专用类/对应头文件：自我"	"任务模块.管理工作线程.ixx:270: const 语素入口节点类* 私有_特征_任务状态() noexcept || 任务类.cpp:367: const 语素入口节点类* 私有_特征_任务状态() noexcept || 自我类.初始化.cpp:793: const 语素入口节点类* 私有_特征_任务状态() noexcept || 自我类.初始化.cpp:959: (void)任务类::记录任务虚拟存在特征( 宿主任务, 私有_特征_任务状态(), 特征值"	"同名不同功能或约束，禁止直接合并"
"私有_语素入口主键相等"	"4"	"4"	"0"	"3"	"2x 类别=未分类;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=特征;约束=noexcept || 1x 类别=未分类;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=方法;约束=noexcept || 1x 类别=未分类;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=需求;约束=noexcept"	"2x 专用类/对应头文件：特征 || 1x 专用类/对应头文件：方法 || 1x 专用类/对应头文件：需求"	"二次特征应用模块.ixx:705: bool 私有_语素入口主键相等(const 语素入口节点类* 左, const 语素入口节点类* 右) noexcept || 二次特征类.cpp:192: bool 私有_语素入口主键相等(const 语素入口节点类* 左, const 语素入口节点类* 右) noexcept || 方法类.cpp:36: bool 私有_语素入口主键相等(const 语素入口节点类* 左, const 语素入口节点类* 右) noexcept || 需求类.cpp:401: bool 私有_语素入口主键相等(const 语素入口节点类* 左, const 语素入口节点类* 右) noexcept"	"同名不同功能或约束，禁止直接合并"
"私有_递归释放_独立"	"4"	"1"	"3"	"3"	"2x 类别=清理;输入=无自定义类型;输出=其他;副作用=无明显副作用;领域=全局通用候选;约束=无显式约束 || 1x 类别=清理;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=全局通用候选;约束=template || 1x 类别=清理;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=全局通用候选;约束=static"	"2x 全局共享函数类.ixx候选 || 2x 原地保留/待复核"	"双向链表模板_深拷贝.inl:32: 私有_递归释放_独立(独立根) || 双向链表模板_深拷贝.inl:112: template<typename 主信息类型> void 链表模板<主信息类型>::私有_递归释放_独立(节点类* n) || 双向链表模板_深拷贝.inl:124: 私有_递归释放_独立(cur) || 双向链表模板核心.h:675: static void 私有_递归释放_独立(节点类* n)"	"同名不同功能或约束，禁止直接合并"
"语素类::添加词性词"	"4"	"4"	"0"	"2"	"2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=语素;约束=无显式约束 || 2x 类别=执行;输入=有自定义类型;输出=文本;副作用=无明显副作用;领域=语素;约束=无显式约束"	"4x 专用类/对应头文件：语素"	"语素类.cpp:790: 语素入口节点类* 语素类::添加词性词(词节点类* 词节点, 枚举_词性 词性) || 语素类.cpp:822: 语素入口节点类* 语素类::添加词性词(const std::string& 词值, 枚举_词性 词性值) || 语素类.cpp:829: 语素入口节点类* 语素类::添加词性词(const std::string& 词值, const std::string& 词性值) || 语素类.cpp:836: 语素入口节点类* 语素类::添加词性词(结构体_分词 词信息)"	"同名不同功能或约束，禁止直接合并"
"转文本"	"4"	"4"	"0"	"1"	"4x 类别=执行;输入=有自定义类型;输出=文本;副作用=无明显副作用;领域=全局通用候选;约束=noexcept+inline"	"4x 原地保留/待复核"	"动作验证报告类.h:81: inline const char* 转文本(const 枚举_动作验证状态 状态) noexcept || 动作验证报告类.h:104: inline const char* 转文本(const 枚举_事实提交等级 等级) noexcept || 动作验证报告类.ixx:83: inline const char* 转文本(const 枚举_动作验证状态 状态) noexcept || 动作验证报告类.ixx:106: inline const char* 转文本(const 枚举_事实提交等级 等级) noexcept"	"功能签名一致，按专用归属复核"
"mi"	"3"	"0"	"3"	"1"	"3x 类别=执行;输入=有自定义类型;输出=其他;副作用=无明显副作用;领域=特征值;约束=无显式约束"	"3x 专用类/对应头文件：特征值"	"特征值类.h:104: 特征值主信息类 mi(std::move(v)) || 特征值类.h:114: 特征值主信息类 mi(std::move(v)) || 特征值类.h:164: 特征值主信息类 mi(std::move(v))"	"功能签名一致，按专用归属复核"
"operator*"	"3"	"3"	"0"	"2"	"2x 类别=未分类;输入=无自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=全局通用候选;约束=constexpr || 1x 类别=未分类;输入=无自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=全局通用候选;约束=noexcept"	"3x 全局共享函数类.ixx候选"	"基础数据类型.h:963: constexpr Vector3D operator*(double scalar) const || 基础数据类型.h:1046: Quaternion operator*(const Quaternion& r) const noexcept || 基础数据类型.h:1084: constexpr Vector3D operator*(double scalar, const Vector3D& vec)"	"同名不同功能或约束，禁止直接合并"
"operator=="	"3"	"3"	"0"	"2"	"2x 类别=执行;输入=无自定义类型;输出=bool;副作用=无明显副作用;领域=全局通用候选;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=全局通用候选;约束=无显式约束"	"2x 全局共享函数类.ixx候选 || 1x 原地保留/待复核"	"基础数据类型.h:304: inline bool operator==(const VecU句柄& a, const VecU句柄& b) noexcept || 基础数据类型.h:309: inline bool operator==(const 指针句柄& a, const 指针句柄& b) noexcept || 基础数据类型.h:546: friend bool operator==(const 结构体_空间坐标& a, const 结构体_空间坐标& b)"	"同名不同功能或约束，禁止直接合并"
